port_name,country,max_draft_m,max_loa_m,max_beam_m,discharge_rate_mt_day,port_cost_usd_day,waiting_time_hrs,berths_available
Haldia,India,11.8,190,30,12000,18000,36,4
Paradip,India,14.5,260,43,25000,22000,24,8
Visakhapatnam,India,16.5,290,45,30000,25000,18,10
Dhamra,India,17.5,320,48,35000,28000,12,6
Mumbai,India,15.0,300,45,28000,26000,22,7
Chennai,India,16.5,300,46,26000,24000,20,6
Gopalpur,India,13.0,230,38,18000,20000,20,3
Gangavaram,India,16.2,280,45,28000,24000,16,5
Sagar-Sandheads,India,8.5,200,32,10000,15000,42,2
Hay Point,Australia,18.5,300,50,45000,32000,14,4
Gladstone,Australia,16.0,280,45,38000,30000,18,6
Newcastle,Australia,15.2,275,47,40000,29000,22,8
Taboneo,Indonesia,12.5,225,32,20000,17000,28,5
Muara Pantai,Indonesia,11.8,210,30,15000,16000,30,4
Richards Bay,South Africa,17.5,310,48,42000,31000,16,6
Baltimore,USA,15.0,290,44,32000,27000,20,5
Vostochny,Russia,16.0,285,45,30000,26000,24,4
